replication,scenario,liters,operation_h,pause_h,monitored_h,efficiency
26,s2_tpm,253250.27446954438,123.50023842342033,117.50649296546838,241.00673138888874,0.5124348092341877
26,s3_integrated,275887.85578179226,133.7695654173166,107.23716597157204,241.00673138888874,0.5550449344149889
27,baseline,223265.24967229008,104.02819916666658,139.96817999999993,243.9963791666665,0.4263514053854385
27,s1_5s_visual,228664.62121248228,106.19068333692914,137.80569582973737,243.9963791666665,0.4352141769464272
27,s2_tpm,267607.80206020526,124.23073619108324,119.76564297558325,243.9963791666665,0.509149916959321
27,s3_integrated,293668.8753469211,135.40752560118707,108.58885356547941,243.9963791666665,0.5549571106901316
28,baseline,225632.72229858584,104.14602722222216,130.6903472222222,234.8363744444443,0.443483372065345
28,s1_5s_visual,231682.62550812535,106.49838492494634,128.337989519498,234.8363744444443,0.45350037947439387
28,s2_tpm,262030.13475225322,120.98669099163625,113.84968345280801,234.8363744444443,0.5151957028712275
28,s3_integrated,287440.678806924,131.5526565475524,103.28371789689187,234.8363744444443,0.5601885860261996
29,baseline,216587.1733506742,106.63238416666664,158.5067730555555,265.139157222222,0.40217516448275675
29,s1_5s_visual,221829.6593509374,108.97440697621877,156.16475024600334,265.139157222222,0.4110083479102397
29,s2_tpm,269904.22102913697,132.18408235021815,132.9550748720039,265.139157222222,0.498546060623668
29,s3_integrated,297085.9966463,144.60122882195444,120.53792840026762,265.139157222222,0.5453786243303146
30,baseline,221793.8793381229,104.29581305555557,138.16681638888872,242.4626294444443,0.43015211579008705
30,s1_5s_visual,226311.0043709206,106.31345190952393,136.14917753492043,242.4626294444443,0.43847355839174235
30,s2_tpm,273012.76047326345,126.90724966276888,115.55537978167533,242.4626294444443,0.5234095248144096
30,s3_integrated,299468.95712293644,138.43229586027658,104.03033358416772,242.4626294444443,0.5709428136511887
31,baseline,212703.68402767807,104.16210111111106,135.890178611111,240.05227972222207,0.43391423414784003
31,s1_5s_visual,217575.41377367792,106.3274968368674,133.7247828853547,240.05227972222207,0.44293475137959487
31,s2_tpm,259510.9648414492,126.5408352198493,113.51144450237271,240.05227972222207,0.5271386523230556
31,s3_integrated,283147.30907282577,137.38722439820882,102.66505532401322,240.05227972222207,0.5723220981578983
32,baseline,194590.85986973756,94.36258249999995,132.10556805555544,226.4681505555554,0.41667043365045564
32,s1_5s_visual,200927.9970100341,97.10298213433109,129.36516842122433,226.4681505555554,0.4287710298164445
32,s2_tpm,235238.65697135683,113.15147036361878,113.31668019193654,226.4681505555554,0.499635247102269
32,s3_integrated,260042.72229132007,124.20926962494708,102.25888093060831,226.4681505555554,0.5484624187562173
33,baseline,191621.30485908472,89.66041000000001,138.93367555555545,228.59408555555544,0.39222541467814903
33,s1_5s_visual,197230.74660947922,92.00810813871617,136.58597741683926,228.59408555555544,0.40249557601242203
33,s2_tpm,232799.72078471407,108.57235578640075,120.02172976915459,228.59408555555544,0.4749569767850109
33,s3_integrated,257743.59266347624,119.09011762035973,109.5039679351957,228.59408555555544,0.5209676240351246
34,baseline,219600.23507888027,102.13816111111106,137.93403138888877,240.0721924999998,0.42544769574306757
34,s1_5s_visual,226071.49258625697,104.84532339887716,135.22686910112267,240.0721924999998,0.43672414662884057
34,s2_tpm,258011.45684977385,119.448804739016,120.62338776098387,240.0721924999998,0.49755368789334525
